name	x	y	z	type	material
F3	-0.05180903841183724	0.08668789888287941	0.07871409302883386	active	Gel-based active electrodes
F1	-0.029043947159812532	0.0914484772511269	0.09661865029442043	active	Gel-based active electrodes
Fz	-0.001229271161566281	0.09327445200029715	0.1026392934768164	active	Gel-based active electrodes
F2	0.02796791320013783	0.09186996574934479	0.09577991837531276	active	Gel-based active electrodes
F4	0.050274277731628736	0.08743838910239796	0.07727065434234194	active	Gel-based active electrodes
FFC3h	-0.046014997827752195	0.07544212770265342	0.09888008108819071	active	Gel-based active electrodes
FFC1h	-0.01701565719066819	0.07913770074417209	0.11468231231471465	active	Gel-based active electrodes
FFC2h	0.016001555066588537	0.07941961171380385	0.11476581186543416	active	Gel-based active electrodes
FFC4h	0.04425027788873588	0.07592116379472637	0.09778996843412346	active	Gel-based active electrodes
FC5	-0.07890597635539306	0.05136738419239063	0.062962347939219	active	Gel-based active electrodes
FC3	-0.06185233708120759	0.057133285360774055	0.09376582882952159	active	Gel-based active electrodes
FC1	-0.03571586037883836	0.06171405984105545	0.11798301537735344	active	Gel-based active electrodes
FCz	-0.0012714263028658717	0.0634597921290682	0.126571983842371	active	Gel-based active electrodes
FC2	0.033130982370817734	0.06182848606183057	0.1167816981344542	active	Gel-based active electrodes
FC4	0.06062548180278077	0.05770742045738667	0.09379461804488001	active	Gel-based active electrodes
FC6	0.0778466192866476	0.052098811200362666	0.06286710628925257	active	Gel-based active electrodes
FCC5h	-0.07642981406940344	0.03822198801247455	0.08458791622299652	active	Gel-based active electrodes
FCC3h	-0.05277278216742508	0.04265326737284035	0.11344851959803585	active	Gel-based active electrodes
FCC1h	-0.019930613438240936	0.04547815032167761	0.1314628273525747	active	Gel-based active electrodes
FCC2h	0.017075503652114115	0.045445293979027135	0.13048864783787198	active	Gel-based active electrodes
FCC4h	0.05016459598447813	0.04285740128088303	0.11254471211113456	active	Gel-based active electrodes
FCC6h	0.07526690315652133	0.03871549803826684	0.0845722961002357	active	Gel-based active electrodes
C5	-0.08208529873125733	0.01929362757100219	0.06948966772818678	active	Gel-based active electrodes
C3	-0.0671487229331174	0.023358230537446293	0.10451068106024831	active	Gel-based active electrodes
C1	-0.03793782383476591	0.0263374518138683	0.1297706088883019	active	Gel-based active electrodes
Cz	-0.0013741334028190722	0.027617093595102737	0.14019949417439556	active	Gel-based active electrodes
C2	0.03589271692022557	0.026358138278001507	0.12841234097161083	active	Gel-based active electrodes
C4	0.06532888071838541	0.0235731049615695	0.10369243420047652	active	Gel-based active electrodes
C6	0.08165316938062157	0.01969565941729637	0.06948180710556634	active	Gel-based active electrodes
CCP5h	-0.07826499769956631	0.004470321227209955	0.09041886017275193	active	Gel-based active electrodes
CCP3h	-0.05477693503190547	0.006970692308078133	0.1214092543760044	active	Gel-based active electrodes
CCP1h	-0.020197459640656806	0.008445161210644134	0.13926342252024324	active	Gel-based active electrodes
CCP2h	0.018376904262614128	0.008478733546305059	0.13920563496068988	active	Gel-based active electrodes
CCP4h	0.053266262250588385	0.007114714861255218	0.12154949436120784	active	Gel-based active electrodes
CCP6h	0.0771497474434083	0.004683902902959922	0.09078695571233439	active	Gel-based active electrodes
CP5	-0.08151351110863697	-0.013345693814222136	0.07313262712367305	active	Gel-based active electrodes
CP3	-0.06547223352095873	-0.011896603418787375	0.10777792004226633	active	Gel-based active electrodes
CP1	-0.03742512541749303	-0.0108242377168398	0.13344371157184132	active	Gel-based active electrodes
CPz	-0.0015249049095034388	-0.010518376385192287	0.1415491439762969	active	Gel-based active electrodes
CP2	0.036471959575241124	-0.010903791502932459	0.1328122726312171	active	Gel-based active electrodes
CP4	0.06469625505180063	-0.011991175153616248	0.1077128709239866	active	Gel-based active electrodes
CP6	0.08140110772413488	-0.013462042634867975	0.07336367003861291	active	Gel-based active electrodes
CPP5h	-0.07009162560715491	-0.028860895654327843	0.09033949023032198	active	Gel-based active electrodes
CPP3h	-0.04889118869069888	-0.029061639684112645	0.11843565567869693	active	Gel-based active electrodes
CPP1h	-0.01779740805465563	-0.029181355163160148	0.13432965497085075	active	Gel-based active electrodes
CPP2h	0.017442637441649308	-0.029231559085918016	0.13556836528856883	active	Gel-based active electrodes
CPP4h	0.04869710416830808	-0.02915332575643705	0.11925644720960886	active	Gel-based active electrodes
CPP6h	0.06911975477714238	-0.02900200922894142	0.09039544366284233	active	Gel-based active electrodes
P5	-0.06929984033251055	-0.04322697385521733	0.07225380245654418	active	Gel-based active electrodes
P3	-0.0550382318026169	-0.04421030466234088	0.09990897692200874	active	Gel-based active electrodes
P1	-0.03065361671214898	-0.0449273871112134	0.119472045379713	active	Gel-based active electrodes
Pz	-0.001709445046746896	-0.045212993324122014	0.12667292418209622	active	Gel-based active electrodes
P2	0.02988639367294514	-0.04503254211011842	0.12074781507025116	active	Gel-based active electrodes
P4	0.05363601546337514	-0.04433452185507687	0.100516027732151	active	Gel-based active electrodes
P6	0.06586061936218297	-0.043338515400606556	0.07194130862688103	active	Gel-based active electrodes
PPO1h	-0.014125741094625301	-0.05761106526507678	0.11024412354707852	active	Gel-based active electrodes
PPO2h	0.011844078426055813	-0.05770830752163668	0.11169671363776154	active	Gel-based active electrodes
POz	-0.00189982442989459	-0.06805409916590743	0.09590999936124336	active	Gel-based active electrodes
