name	x	y	z	type	material
AFz	-0.0012373820739330513	0.11373993357805418	0.07038366398270277	active	Gel-based active electrodes
F3	-0.05180903841183724	0.08668789888287941	0.07871409302883386	active	Gel-based active electrodes
F1	-0.029043947159812532	0.0914484772511269	0.09661865029442043	active	Gel-based active electrodes
Fz	-0.001229271161566281	0.09327445200029715	0.1026392934768164	active	Gel-based active electrodes
F2	0.02796791320013783	0.09186996574934479	0.09577991837531276	active	Gel-based active electrodes
F4	0.050274277731628736	0.08743838910239796	0.07727065434234194	active	Gel-based active electrodes
FC5	-0.07890597635539306	0.05136738419239063	0.062962347939219	active	Gel-based active electrodes
FC3	-0.06185233708120759	0.057133285360774055	0.09376582882952159	active	Gel-based active electrodes
FC1	-0.03571586037883836	0.06171405984105545	0.11798301537735344	active	Gel-based active electrodes
FCz	-0.0012714263028658717	0.0634597921290682	0.126571983842371	active	Gel-based active electrodes
FC2	0.033130982370817734	0.06182848606183057	0.1167816981344542	active	Gel-based active electrodes
FC4	0.06062548180278077	0.05770742045738667	0.09379461804488001	active	Gel-based active electrodes
FC6	0.0778466192866476	0.052098811200362666	0.06286710628925257	active	Gel-based active electrodes
C5	-0.08208529873125733	0.01929362757100219	0.06948966772818678	active	Gel-based active electrodes
C3	-0.0671487229331174	0.023358230537446293	0.10451068106024831	active	Gel-based active electrodes
C1	-0.03793782383476591	0.0263374518138683	0.1297706088883019	active	Gel-based active electrodes
Cz	-0.0013741334028190722	0.027617093595102737	0.14019949417439556	active	Gel-based active electrodes
C2	0.03589271692022557	0.026358138278001507	0.12841234097161083	active	Gel-based active electrodes
C4	0.06532888071838541	0.0235731049615695	0.10369243420047652	active	Gel-based active electrodes
C6	0.08165316938062157	0.01969565941729637	0.06948180710556634	active	Gel-based active electrodes
CP5	-0.08151351110863697	-0.013345693814222136	0.07313262712367305	active	Gel-based active electrodes
CP3	-0.06547223352095873	-0.011896603418787375	0.10777792004226633	active	Gel-based active electrodes
CP1	-0.03742512541749303	-0.0108242377168398	0.13344371157184132	active	Gel-based active electrodes
CPz	-0.0015249049095034388	-0.010518376385192287	0.1415491439762969	active	Gel-based active electrodes
CP2	0.036471959575241124	-0.010903791502932459	0.1328122726312171	active	Gel-based active electrodes
CP4	0.06469625505180063	-0.011991175153616248	0.1077128709239866	active	Gel-based active electrodes
CP6	0.08140110772413488	-0.013462042634867975	0.07336367003861291	active	Gel-based active electrodes
P3	-0.0550382318026169	-0.04421030466234088	0.09990897692200874	active	Gel-based active electrodes
P1	-0.03065361671214898	-0.0449273871112134	0.119472045379713	active	Gel-based active electrodes
Pz	-0.001709445046746896	-0.045212993324122014	0.12667292418209622	active	Gel-based active electrodes
P2	0.02988639367294514	-0.04503254211011842	0.12074781507025116	active	Gel-based active electrodes
P4	0.05363601546337514	-0.04433452185507687	0.100516027732151	active	Gel-based active electrodes
