name	x	y	z	type	material
FC3	-0.06185233708120759	0.057133285360774055	0.09376582882952159	active	Gel-based active electrodes
FCz	-0.0012714263028658717	0.0634597921290682	0.126571983842371	active	Gel-based active electrodes
FC4	0.06062548180278077	0.05770742045738667	0.09379461804488001	active	Gel-based active electrodes
C3	-0.0671487229331174	0.023358230537446293	0.10451068106024831	active	Gel-based active electrodes
C1	-0.03793782383476591	0.0263374518138683	0.1297706088883019	active	Gel-based active electrodes
Cz	-0.0013741334028190722	0.027617093595102737	0.14019949417439556	active	Gel-based active electrodes
C2	0.03589271692022557	0.026358138278001507	0.12841234097161083	active	Gel-based active electrodes
C4	0.06532888071838541	0.0235731049615695	0.10369243420047652	active	Gel-based active electrodes
CP3	-0.06547223352095873	-0.011896603418787375	0.10777792004226633	active	Gel-based active electrodes
CPz	-0.0015249049095034388	-0.010518376385192287	0.1415491439762969	active	Gel-based active electrodes
CP4	0.06469625505180063	-0.011991175153616248	0.1077128709239866	active	Gel-based active electrodes
A2	0.0839280575805768	0.001967805856129233	-0.02690846022244657	active	Gel-based active electrodes
